ArtNr;Bezeichnung;Beschreibung;Kategorie;Raum;Menge;Einheit;Zustand;Anschaffungsjahr;Anlagennr;Anschaffungswert_netto;Preis_netto;Preisbasis;Versand;Foto;Status;Kanal;Reserviert_fuer;Verkauft_Menge;Verkaufspreis_netto;Verkaufsdatum;Kaeufer;Rechnungsnr;Zahlung;Zahlart;Abholtermin;Bemerkung
K-001;Garderobenbank mit Hakenleiste;Buche massiv, 6 Plaetze, B 120 x H 140 x T 35 cm, Sitzbank mit Schuhablage;Moebel;Flur EG;12;Stueck;gut;2009;AV-0112;340,00;85,00;Fix;nur Abholung;K-001.jpg;verfuegbar;Klinik;;;;;;;;;;2 Stueck mit leichten Kratzern
K-002;Kindertisch trapezfoermig;Buche, 120 x 60 cm, Hoehe 53 cm, kombinierbar zu Sechseck;Moebel;Gruppenraum 1-3;18;Stueck;gut;2010;AV-0118;180,00;45,00;Fix;nur Abholung;K-002.jpg;verfuegbar;Klinik;;;;;;;;;;
K-003;Kinderstuhl Holz;Buche, Sitzhoehe 34 cm, stapelbar;Moebel;Gruppenraum 1-3;64;Stueck;gebraucht;2010;AV-0119;48,00;12,00;Fix;Versand moeglich;K-003.jpg;verfuegbar;Klinik;;;;;;;;;;Mengenrabatt ab 20 Stueck moeglich
K-004;Rollcontainer Materialwagen;Weiss, 4 Schubladen, abschliessbar, auf Rollen, B 40 x H 60 cm;Moebel;Gruppenraum 2;6;Stueck;gut;2014;AV-0231;210,00;60,00;Fix;Versand moeglich;K-004.jpg;reserviert;Klinik;Klinikum Musterstadt;;;;;;;;;Reservierung bis 30.09.
K-005;Wickelkommode mit Aufstiegstreppe;Mit ausziehbarer Treppe, Wickelauflage, 2 Ablagefaecher, B 100 x H 100 cm;Moebel;Waschraum;2;Stueck;gut;2015;AV-0288;890,00;320,00;VHB;nur Abholung;K-005.jpg;verfuegbar;Klinik;;;;;;;;;;Fuer Kinderstation interessant
K-006;Ruheliege stapelbar;Stapelliege, Metallrahmen mit Netzbespannung, 130 x 60 cm;Moebel;Schlafraum;20;Stueck;gebraucht;2011;GWG-0421;65,00;18,00;Fix;Versand moeglich;K-006.jpg;verfuegbar;Kleinanzeigen;;;;;;;;;;
K-007;Spielteppich gross;200 x 300 cm, Motiv Strassenverkehr, gereinigt;Spielmaterial;Gruppenraum 1;3;Stueck;gebraucht;2016;;;35,00;VHB;Versand moeglich;K-007.jpg;verfuegbar;Klinik;;;;;;;;;;
K-008;Karton Acrylfarben;ca. 40 Flaschen a 500 ml, verschiedene Farben, ungeoeffnet;Verbrauchsmaterial;Lager;3;Karton;neuwertig;2024;;;95,00;Fix;Versand moeglich;K-008.jpg;verfuegbar;Klinik;;;;;;;;;;Haltbarkeit geprueft
K-009;Karton gemischtes Spielzeug;Bausteine, Fahrzeuge, Puzzles, Steckspiele - gereinigt, vollstaendig gepruefte Sets;Spielmaterial;Lager;12;Karton;gebraucht;;;;15,00;VHB;Versand moeglich;K-009.jpg;verfuegbar;Klinik;;;;;;;;;;Inhalt je Karton leicht unterschiedlich
K-010;Gewerbespuelmaschine Hobart;Untertischgeraet, Bj. 2016, gewartet 03/2025, 400 V;Kuechentechnik;Kueche;1;Stueck;gut;2016;AV-0301;3.200,00;1.450,00;VHB;nur Abholung;K-010.jpg;verfuegbar;Klinik;;;;;;;;;;Elektroanschluss durch Fachbetrieb
K-011;Edelstahl-Arbeitstisch;180 x 70 cm, mit Zwischenboden, hoehenverstellbare Fuesse;Kuechentechnik;Kueche;3;Stueck;gut;2016;AV-0302;620,00;180,00;Fix;nur Abholung;K-011.jpg;verfuegbar;Klinik;;;;;;;;;;
K-012;Aktenschrank abschliessbar;Stahl, 4 Ordnerhoehen, grau, B 92 x H 195 cm;Buero;Buero Leitung;4;Stueck;gut;2012;AV-0155;390,00;95,00;Fix;nur Abholung;K-012.jpg;verkauft;Direkt;;2;95,00;08.09.2026;Praxis Dr. Berger;RE-2026-0014;bezahlt;Ueberweisung;08.09.2026;
K-013;Schreibtisch hoehenverstellbar;160 x 80 cm, Kurbelverstellung, Ahorn;Buero;Buero Leitung;2;Stueck;gut;2018;AV-0344;450,00;150,00;VHB;nur Abholung;K-013.jpg;verkauft;Kleinanzeigen;;1;140,00;10.09.2026;Herr Schmidt (privat);RE-2026-0015;offen;bar;17.09.2026;Abholung vereinbart
K-014;Sonnensegel Aussenbereich;5 x 5 m, mit 4 Bodenhuelsen und Spannseilen;Aussenbereich;Garten;1;Stueck;gebraucht;2019;GWG-0512;280,00;90,00;VHB;nur Abholung;K-014.jpg;verfuegbar;Kleinanzeigen;;;;;;;;;;Demontage durch Kaeufer
K-015;Musikinstrumente-Set Orff;Xylophone, Trommeln, Rasseln, Klangstaebe - im Holzwagen;Musik;Bewegungsraum;1;Set;gut;2013;AV-0201;1.100,00;380,00;VHB;nur Abholung;K-015.jpg;verkauft;Direkt;;1;380,00;05.09.2026;Kita Sonnenschein e.V.;RE-2026-0012;bezahlt;Ueberweisung;05.09.2026;
K-016;Laptop Lenovo ThinkPad;i5, 8 GB RAM, 256 GB SSD, Bj. 2020, ohne Betriebssystem, Datentraeger geloescht;IT;Buero Leitung;2;Stueck;gebraucht;2020;AV-0388;780,00;210,00;Fix;Versand moeglich;K-016.jpg;verfuegbar;eBay;;;;;;;;;;Datenloeschung protokolliert
