ArtNr;Alt_ArtNr;Weitere_ArtNr;Raumcode;Bezeichnung;Beschreibung;Kategorie;Marke;Bündel;Raum;Menge;Einheit;Zustand;Maße;Foto;Wertklasse;Aktiv;Im_Katalog;Preis_netto;Preisbasis;Versand;Mengenhinweis;Anlagennr;Anschaffungswert_netto;Status;Kanal;Reserviert_für;Verkauft_Menge;Verkaufspreis_netto;Verkaufsdatum;Käufer;Rechnungsnr;Zahlung;Zahlart;Abholtermin;Klinik_Markierung;Bemerkung
BA04-01;K-096;;BA04;Rattankörbe 8 Stück;Rattankörbe 8 Stück;Deko;;;Gruppenraum 4;1;Set;stark gebraucht;;F-062;C;ja;ja;10,00;VHB;nur Abholung;1 Regal mit 6 Körben im Bild;;;verfügbar;;;;;;;;;;;;
BA04-02;K-097;;BA04;Holzkiste Obstkistenoptik;Alte Holzkiste, unbehandelt, als Aufbewahrung;Deko;;;Gruppenraum 4;4;Stück;gebraucht;;F-063;C;ja;ja;15,00;VHB;Versand möglich;4 Kisten – abgebildet ist eine davon.;;;verfügbar;;;;;;;;;;;;
BA08-01;K-099;;BA08;Konvolut Mal- und Bastelfarben;Finger-, Plakat-, Gouache-, Acryl- und Textilfarben sowie Bastelkleber, teils angebrochen;Verbrauchsmaterial;;;Atelier;1;Konvolut;gebraucht;;F-065;C;ja;ja;350,00;VHB;nur Abholung;mehrere Schrankfächer - Menge bitte vor Ort festlegen;;;verfügbar;;;;;;;;;;;ja;
BA08-02;K-100;;BA08;Acrylfarben-Sortiment im Holzkasten;Sortierkasten mit Acrylfarben in Tuben und Töpfchen;Verbrauchsmaterial;;;Atelier;1;Konvolut;gut;;F-069;C;ja;ja;60,00;VHB;Versand möglich;1 Sortierkasten im Bild;;;verfügbar;;;;;;;;;;;;
BA08-03;K-101;;BA08;Konvolut Bastelmaterial;Perlen, Bänder, Glitzer, Holzperlen, Bügelperlen, Schnüre;Verbrauchsmaterial;;;Atelier;1;Konvolut;gebraucht;;F-070;C;ja;ja;50,00;VHB;nur Abholung;2 Regalböden im Bild;;;verfügbar;;;;;;;;;;;;
BA08-04;K-102;;BA08;buntes Papier;Konvolut Buntes Papier;Verbrauchsmaterial;;;Atelier;1;Konvolut;gut;;F-071;B;ja;ja;50,00;VHB;nur Abholung;1 Schrank inkl. Restbestand Papier;;;verfügbar;;;;;;;;;;;;
BA09-01;K-079;;BA09;Deko Metallruten mit Pompons;Metallruten mit roten Wollbommeln in Birkenstammfuß;Deko;;;Personal;2;Stück;gut;;F-044;C;ja;ja;19,00;VHB;nur Abholung;2 Stück im Bild;;;verfügbar;;;;;;;;;;;;
BA09-02;K-080;;BA09;Elefantenfuß groß;Beaucarnea, große Zimmerpflanze im Topf und kleine Zimmerpflanze im Topf;Pflanzen;;;Personal;1;Set;gut;;F-045;C;ja;ja;90,00;VHB;nur Abholung;1 Pflanze im Bild;;;verfügbar;;;;;;;;;;;;
BA09-03;K-082;;BA09;Werte-Rad;Drehbares Holzrad zur Visualisierung von Leitwerten, Eigenbau;Kita-Ausstattung;;;Personal;1;Stück;gut;;F-046;C;ja;ja;40,00;VHB;nur Abholung;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
BA09-04;K-083;;BA09;USM Haller Tisch;USM Haller, weiße Tischplatte, verchromtes Rohrgestell mit Kugelverbindern, ca. 200 x 100 cm;Designmöbel;USM Haller;;Personal;1;Stück;gut;;F-047;A;ja;ja;900,00;VHB;nur Abholung;1 Tisch im Bild;;;verfügbar;;;;;;;;;;;ja;
BA09-05;K-084;;BA09;Kartell Masters Stuhl;Kartell Masters, Design Philippe Starck, schwarz;Designmöbel;Kartell;;Personal;4;Stück;gebraucht;;F-048;A;ja;ja;120,00;VHB;Versand möglich;4 Stühle – abgebildet sind zwei davon.;;;verfügbar;;;;;;;;;;;;
BA10-01;K-086;;BA10;Glastisch rund mit Chromgestell;Runde Glasplatte teilsatiniert, Chromgestell;Möbel;;;Ruhe- / Schlafraum;1;Stück;gebraucht;;F-057;B;ja;ja;90,00;VHB;nur Abholung;1 Tisch im Bild;;;verfügbar;;;;;;;;;;;;
BA10-02;K-087;;BA10;Samtsofa bordeaux, 2-Sitzer;Samtbezug dunkelrot, gesteppte Rückenlehne, dunkle Holzbeine;Möbel;;;Ruhe- / Schlafraum;2;Stück;gebraucht;;F-058;B;ja;ja;250,00;VHB;nur Abholung;1 Sofa im Bild;;;verfügbar;;;;;;;;;;;;
BA10-03;K-089;;BA10;Sessel mit Bezug, weiß lackiert;"Relaxsessel mit Bezug, weiß lackiert
 weiß lackiertes Schichtholz, hellgrauer Bezug";Möbel;;;Ruhe- / Schlafraum;2;Stück;gebraucht;;F-060;C;ja;ja;250,00;VHB;nur Abholung;1 Sessel im Bild;;;verfügbar;;;;;;;;;;;;
BA10-04;K-090;;BA10;Hocker grau mit Hairpin-Beinen;"Hocker grau 
Runder Polsterhocker grau, mit Stauraum";Möbel;;;Ruhe- / Schlafraum;1;Stück;gebraucht;;F-060;C;ja;ja;35,00;VHB;Versand möglich;1 Hocker.;;;verfügbar;;;;;;;;;;;;
BA10-05;K-091;;BA10;Ohrensessel grau mit Kufengestell;Polstersessel hellgrau, schwarzes Kufengestell aus Rundstahl;Möbel;;;Ruhe- / Schlafraum;2;Stück;gebraucht;;F-056;B;ja;ja;130,00;VHB;nur Abholung;2 Sessel im Bild;;;verfügbar;;;;;;;;;;;;
BA10-06;K-092;;BA10;Hocker grau, passend;Polsterhocker hellgrau, schwarzes Kufengestell, passend zu den Sesseln;Möbel;;;Ruhe- / Schlafraum;2;Stück;gebraucht;;F-056;C;ja;ja;45,00;VHB;Versand möglich;2 Hocker im Bild;;;verfügbar;;;;;;;;;;;;
BA10-07;K-093;;BA10;Beistelltisch rund grau;Runde Platte grau, schwarze Hairpin-Beine;Möbel;;;Ruhe- / Schlafraum;1;Stück;gebraucht;;F-056;C;ja;ja;45,00;VHB;Versand möglich;1 Tisch im Bild;;;verfügbar;;;;;;;;;;;;
BA10-08;K-094;;BA10;Pendelleuchte Drahtgeflecht;Geometrische Drahtleuchte schwarz, Ikosaederform;Leuchten;;;Ruhe- / Schlafraum;2;Stück;gut;;F-061;C;ja;ja;55,00;VHB;Versand möglich;1 Leuchte im Bild;;;verfügbar;;;;;;;;;;;;
BA12-01;K-085;;BA12;Ast-Mobile mit Papierwaben;Deko-Mobile: Birkenast mit Papierwaben, Sternen und Filzhäusern;Deko;;;WC Personal;1;Stück;gut;;F-055;C;ja;ja;30,00;VHB;nur Abholung;1 Mobile im Bild;;;verfügbar;;;;;;;;;;;;
BE01-01;K-062;;BE01;Barockspiegel schwarz, oval;Verzierter Rahmen schwarz, oval, zwei Größen;Deko;;;Flur 1;3;Stück;gut;;F-051;C;ja;ja;45,00;VHB;Versand möglich;2 Stück im Bild;;;verfügbar;;;;;;;;;;;;
BE01-02;K-064;;BE01;Bilderrahmen mit Kinderzeichnung;Gerahmte Kinderzeichnungen/Drucke, schwarz gerahmt;Deko;;;Flur 1;3;Set;gut;;F-053;C;ja;ja;40,00;VHB;Versand möglich;3 Rahmen im Bild;;;verfügbar;;;;;;;;;;;;
BE01-03;K-065;;BE01;Wandregal-Würfel schwarz;Offene Regalwürfel zur Wandmontage, schwarz;Möbel;;;Flur 1;2;Stück;gebraucht;;F-054;C;ja;ja;20,00;VHB;Versand möglich;2 Stück im Bild;;;verfügbar;;;;;;;;;;;;
BE06-01;K-077;;BE06;Wandgestell Holz mit Schnüren;Holzrahmen mit gespannten Schnüren und Wäscheklammern zum Aufhängen von Bildern;Kita-Ausstattung;;;Gruppenraum 2;1;Stück;gebraucht;;F-042;C;ja;ja;35,00;VHB;nur Abholung;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
BE06-02;K-078;;BE06;Designsofa anthrazit;Geschwungene Form, Wollstoff anthrazit, dunkle Metallbeine, 3-Sitzer;Möbel;;;Gruppenraum 2;1;Stück;gebraucht;;F-043;A;ja;ja;450,00;VHB;nur Abholung;1 Sofa im Bild;;;verfügbar;;;;;;;;;;;;
BE10-01;K-036;;BE10;LED-Ring-Pendelleuchte;Große Pendelleuchte aus mehreren LED-Ringen;Leuchten;;;Büro / Besprechung;1;Stück;gut;;F-021;A;ja;ja;450,00;VHB;nur Abholung;1 Leuchte im Bild;;;verfügbar;;;;;;;;;;;;
BE10-02;K-040;;BE10;Pachira groß im Übertopf;Glückskastanie, große Pflanze, weißer Übertopf;Pflanzen;;;Büro / Besprechung;1;Stück;gut;;F-025;C;ja;ja;80,00;VHB;nur Abholung;1 Pflanze im Bild;;;verfügbar;;;;;;;;;;;;
BE10-03;K-042;;BE10;Moderationswand fahrbar;Pinnwand/Stellwand grau, auf Rollen, beidseitig;Büro;;;Büro / Besprechung;1;Stück;gut;;F-026;B;ja;ja;110,00;VHB;nur Abholung;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
BE10-04;K-043;;BE10;Besprechungstisch weiß, groß;Konferenztisch, weiße Platte, für ca. 8-10 Personen;Büro;;;Büro / Besprechung;1;Stück;gut;;F-027;B;ja;ja;280,00;VHB;nur Abholung;1 Tisch im Bild;;;verfügbar;;;;;;;;;;;;
BU04-01;K-110;;BU04;Crassula im Topf;Geldbaum, Zimmerpflanze im weißen Topf;Pflanzen;;;Gruppenraum;1;Stück;gut;;F-078;C;ja;ja;30,00;VHB;nur Abholung;1 Pflanze im Bild;;;verfügbar;;;;;;;;;;;;
BU04-02;K-113;;BU04;Pflanzkübel Raumteiler weiß Hochglanz;Rechteckiger Pflanzkübel als Raumteiler, weiß hochglanz, ca. 80 x 30 x 80 cm;Pflanzen;;;Gruppenraum;1;Stück;gut;;F-079;B;ja;ja;220,00;VHB;nur Abholung;1 Kübel im Bild (Bepflanzung enthalten);;;verfügbar;;;;;;;;;;;;
BU04-03;K-115;NU02-10;BU04;Hochflorteppich beige, rund;Runder Hochflorteppich in Beige, 100 % Polypropylen, Flor hoch. Etikett auf der Unterseite: IKEA, 195 cm Durchmesser, 9,85 kg.;Textilien;IKEA;;Gruppenraum;2;Stück;gebraucht;Ø 195 cm;F-150;C;ja;ja;40,00;VHB;Versand möglich;2 Teppiche insgesamt: einer im Gruppenraum (BU04-03) und einer im Gruppenraum 5 (dort mit NU02-10 beschriftet).;;;verfügbar;;;;;;;;;;;;Zusammengefasste Position – Post-it-Nummer im zweiten Raum: NU02-10.
BU04-04;K-116;NU02-06;BU04;Regal weiß, 4 Fächer (IKEA Kallax);IKEA Kallax 2x2, weiß, vier Fächer.;Möbel;IKEA;;Gruppenraum;4;Stück;gebraucht;;F-080;B;ja;ja;30,00;VHB;nur Abholung;4 Regale insgesamt: 2 im Gruppenraum (BU04-04) und 2 im Gruppenraum 5 (dort mit NU02-06 beschriftet).;;;verfügbar;;;;;;;;;;;;Zusammengefasste Position – Post-it-Nummer im zweiten Raum: NU02-06.
BU04-05;K-117;;BU04;Wanddeko Fadenbilder mit Spiegelpunkten;Fadenbilder auf Holzreifen, dazu runde Spiegelelemente;Deko;;;Gruppenraum;1;Set;gut;;F-081;C;ja;ja;40,00;VHB;nur Abholung;1 Set im Bild;;;verfügbar;;;;;;;;;;;;
BU09-01;K-118;;BU09;Wurzelholz-Schale groß;Dekoschale aus einem Wurzelstück, Teak, ca. 50-60 cm;Deko;;;Werkraum;1;Stück;gut;;F-082;B;ja;ja;90,00;VHB;nur Abholung;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
BU09-02;K-119;;BU09;Konvolut Baumscheiben und Holzscheiben;Baumscheiben verschiedener Größen und Holzarten, Bastelmaterial;Verbrauchsmaterial;;;Werkraum;1;Konvolut;gut;;F-085;C;ja;ja;40,00;VHB;nur Abholung;mehrere Kisten im Bild;;;verfügbar;;;;;;;;;;;;
BU09-03;K-120;;BU09;Kreidetafel in Hausform;Tafelfolie/Kreidetafel in Hausform, beschriftbar;Kita-Ausstattung;;;Werkraum;1;Stück;gebraucht;;F-089;C;ja;ja;25,00;VHB;Versand möglich;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
GA01-01;K-142;;GA01;Holz-Wellenliege, Doppelliege;Geschwungene Doppelliege aus Holzlatten, ca. 200 cm breit, mit Sponsorenplakette;Garten;;;Gartenanlage;1;Stück;gebraucht;;F-111;A;ja;ja;350,00;VHB;nur Abholung;1 Liege im Bild;;;verfügbar;;;;;;;;;;;;
K-002;;;NU02;Kommode weiß, 9 Schubladen;IKEA Nordli, weiß, drei Module nebeneinander, insgesamt 9 Schubladen;Möbel;;;Gruppenraum 5;1;Stück;gut;;F-002;B;entfällt;ja;120,00;VHB;nur Abholung;1 Einheit aus 3 Modulen im Bild;;;verfügbar;;;;;;;;;;;;
K-003;;;NU02;Deko-Set Globus, Letterboard, Rahmen;Globus, Steckbuchstaben-Board, Bilderrahmen auf Staffelei;Deko;;;Gruppenraum 5;1;Set;gut;;F-002;C;entfällt;ja;35,00;VHB;Versand möglich;3 Teile im Bild;;;verfügbar;;;;;;;;;;;;
K-005;;;NU02;Mal- und Trockengestell fahrbar;Drahtgittergestell auf Rollen, zum Trocknen und Präsentieren von Bildern;Kita-Ausstattung;;;Gruppenraum 5;1;Stück;gut;;F-003;C;entfällt;ja;60,00;VHB;nur Abholung;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
K-006;;;NU02;Kindertafel Holz;Standtafel/Staffelei aus Holz mit Kreidetafel;Kita-Ausstattung;;;Gruppenraum 5;1;Stück;gebraucht;;F-003;C;entfällt;ja;35,00;VHB;Versand möglich;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
