Foto;Anteil_oben;Maske;Grund
F-028;0,30;;Person am unteren Bildrand
F-095;0,34;;Person im Hintergrund
F-099;0,20;;Spiegelung einer Person in der Glasscheibe
F-110;0,55;;zwei gerahmte Teamfotos in der Vitrine
F-114;;0.325/0.090/0.418/0.319 0.471/0.133/0.604/0.276 0.343/0.300/0.443/0.452;Spiegelung einer Person in der Glastuer, gespiegeltes Trachten-Gruppenfoto, gerahmtes Foto mit drei Personen in der Vitrine
F-119;;0.452/0.536/0.533/0.621;gerahmtes Kinderfoto, gespiegelt in der Geraetescheibe
F-172;;0.000/0.000/0.800/0.078 0.275/0.675/0.425/0.795;gestreifter Stoff oberhalb des Regals nicht zuzuordnen, und ein Pressefoto mit Personen in der ausgelegten Zeitung
F-203;;0.130/0.185/0.250/0.215;Namensetikett eines Kindes auf einer Aufbewahrungsbox
F-223;;0.000/0.195/0.075/0.420 0.000/0.285/1.000/0.415;gerahmte Passfotos von Kindern und ihre Namen an der Hakenleiste
F-224;;0.870/0.300/1.000/0.390;Fotokarten von Kindern an der Garderobe im Hintergrund
F-225;;0.050/0.248/1.000/0.362 0.050/0.368/1.000/0.505;Vornamen auf den Kastenetiketten
F-227;;0.580/0.275/0.845/0.755;Spiegelung einer Person in der Kuehlschranktuer
F-229;;0.325/0.095/0.685/0.165 0.515/0.670/0.765/0.735;Vorname einer Mitarbeiterin auf den Bestellkarten
F-243;;0.000/0.420/0.110/0.560;Fingerspitze am linken Bildrand
F-376;;0.055/0.000/0.300/0.360 0.655/0.030/0.890/0.245;Vornamen auf den Magnetschildern an der Wand und beschriftete Anhaenger an der Hakenleiste
