Foto;Quelldatei;Aufnahmezeit;Beschnitten;Pruefsumme
F-001;Neubau_Flur_Deko.HEIC;2026:09:14 12:33:52;;31e1c5a043f21b2add650923a139e6d2
F-002;Neubau_Raum_1_M_bel.HEIC;2026:09:14 12:34:40;;d13fbc44de2a31b53e7f6aa82187071e
F-003;Neubau_Raum_1.HEIC;2026:09:14 12:34:47;;830e4a4955fb6c4a08b2068c1c620b22
F-004;Neubau_Raum_2.HEIC;2026:09:14 12:36:12;;e066b4abeb0db48065cb66437e8ccb88
F-005;Neubau_Raum_3.HEIC;2026:09:14 12:37:03;;e4610e73ebc5ae9e75d3ec31129ba750
F-006;Neubau_Raum_3..HEIC;2026:09:14 12:37:32;;343a79cb669a1dcde8c4f7c3053383b7
F-007;Neubaum_Raum_3-.HEIC;2026:09:14 12:38:34;;7961fe2525c4e628eb5fe7cc7b64a618
F-008;Neubau_Raum_3.HEIC;2026:09:14 12:39:00;;860313bd061c3bfaf95c37cf04e5b4a9
F-009;Neubau_Raum_3_Teppich_1.HEIC;2026:09:14 12:39:28;;d16c970bd71ce6700f0b175b487e32cd
F-010;Neubau_Raum_3_Teppich1.HEIC;2026:09:14 12:39:39;;d4604d438b1998db0bfff2459ba5fe53
F-011;Neubaum_Raum_3_Teppich_Schwarz_wei_.HEIC;2026:09:14 12:39:45;;b9db74448d42ec186627bbaa0d7d1114
F-012;Neubau_Flur.HEIC;2026:09:14 12:40:16;;4bf5f27a445f4574983251e35d767840
F-013;Neubau_Flur-.HEIC;2026:09:14 12:40:26;;d9e09c17441118724622936ea8afe18f
F-014;Neubau_Flur_1.HEIC;2026:09:14 12:40:34;;8201fdde89b417e332e9fd82299ff961
F-015;Neubau_Flur_.HEIC;2026:09:14 12:40:55;;00081975f7ba29d1b8fdfa1fdc034fc9
F-016;Neubau_K_che.HEIC;2026:09:14 12:41:05;;b2f4be0650ea8e46cdc5a756e4f15c3c
F-017;Neubau_K_che1.HEIC;2026:09:14 12:42:02;;438d7e5f9fd690fc22e9acd424e7d6fc
F-018;Neubau_Eltern.HEIC;2026:09:14 12:45:25;;a234252041e9229f81073e8cdab983dd
F-019;Neubau_Eltern1.HEIC;2026:09:14 12:45:38;;ae71ab0278ca6b992e9db84fafb81856
F-020;Neubau_Eltern2.HEIC;2026:09:14 12:45:49;;55a5b1fa5d52e432e65ddfe4c6d37e36
F-021;Besprechung._Lampe.HEIC;2026:09:14 12:48:12;;0316ecbc9c40ca37b1c4d7c20f791ba6
F-022;Besprechung_Lampe.HEIC;2026:09:14 12:48:17;;d7e4b03696025bc6ad0db9c23a146e50
F-023;B_ro_1.HEIC;2026:09:14 12:49:27;;36ca15fa99a0f54a41dc264e9c228663
F-024;Besprechung_1.HEIC;2026:09:14 12:50:06;;808de67da64475ccf3e2edca6f62108f
F-025;Besprechun_.HEIC;2026:09:14 12:50:10;;8bd540fde2a82ccf4e59720ed5e39ac1
F-026;Besprechung..HEIC;2026:09:14 12:50:47;;e885701bfb10d234af497ca11d1917d9
F-027;Besprechung_.HEIC;2026:09:14 12:51:12;;53f08d9217faa313c6fa7a220f784f2d
F-028;Besprechung__.HEIC;2026:09:14 12:51:19;oben0.300;0ef0b4d9c4120c09b25656f64e3089aa
F-029;Flur.HEIC;2026:09:14 12:51:41;;6b3e5310d09f496394bdeb92a3972714
F-030;Flur2.HEIC;2026:09:14 12:51:55;;62c1dbd336eb68852a497fb2f573d6fe
F-031;Flur3.HEIC;2026:09:14 12:52:06;;c4e86939771c2ec02e5e140454044527
F-032;Flur_4.HEIC;2026:09:14 12:52:50;;2952c7621a4e1170d1a1381399d24655
F-033;Flur_5.HEIC;2026:09:14 12:52:54;;3c2ed2e9dbb50715c6769a622c85a622
F-034;Flur_6.HEIC;2026:09:14 12:53:06;;491b68016f4a9181d7e26dd9c68fcf5d
F-035;Flur_7.HEIC;2026:09:14 12:53:11;;e8a7ab2e26edd6853e28913227de3121
F-036;Flur_8.HEIC;2026:09:14 12:53:28;;db659e5f131fcf533c33e2a4b1ac2546
F-037;Flur_9.HEIC;2026:09:14 12:53:37;;8e54bff56d9adadb01a2a4a0f53e11df
F-038;Flur_12.HEIC;2026:09:14 12:54:54;;b2c388b7f9573999c1c679ddf5cba937
F-039;Flur_10.HEIC;2026:09:14 12:55:08;;cc0a90d1a982e804dc139eb7ec4203cd
F-040;Flur_11.HEIC;2026:09:14 12:55:13;;c494910a4cfbb5991f387c2b390b2247
F-041;Flur_13.HEIC;2026:09:14 12:55:17;;334f1581df7523f1e128ad74807ec7d4
F-042;Raum2.HEIC;2026:09:14 12:55:33;;6942a4f6fc696f6b35d9b880fc9c5300
F-043;Raum2_.HEIC;2026:09:14 12:55:42;;5a892ad2690b718c4294ee70420eb400
F-044;MA_Raum.HEIC;2026:09:14 12:57:14;;36faea9439ba069ba8b2a5abcdc7727b
F-045;MA_Raum1.HEIC;2026:09:14 12:57:23;;d03a45eb893696644596fee147b83fe1
F-046;MA_Raum2.HEIC;2026:09:14 12:57:37;;cafa3f86c1f65f51c29e212ea64f574c
