Raumcode;Gebaeude;Ebene;Raumname;Flaeche_m2;Zeilen;Bemerkung
NU01;Neubau;UG;Eingang und Elternlounge;9,37;;Eingangsbereich / Elternlounge
NU02;Neubau;UG;Gruppenraum;60,12;;
NU03;Neubau;UG;Schlafraum;26,07;;
NU04;Neubau;UG;Schlafraum;27,67;;
NU05;Neubau;UG;Treppenaufgang;15,81;;
NU06;Neubau;UG;Matschraum;9,04;;
NU07;Neubau;UG;Gruppenraum;26,46;;
NE01;Neubau;EG;Flur;7,25;;
NE02;Neubau;EG;Küche;26,23;;
NE03;Neubau;EG;Krippenschlafraum;20,42;;
NE04;Neubau;EG;Krippenschlafraum;20,41;;
NE05;Neubau;EG;Speisesaal;61,07;;
NE06;Neubau;EG;Treppenraum 2;4,81;;
NE07;Neubau;EG;WC groß;8,99;;
NE08;Neubau;EG;WC klein;2,45;;
BU01;Bestandsgebäude;UG;Flur;21,65;;
BU02;Bestandsgebäude;UG;Flur;8,61;;
BU03;Bestandsgebäude;UG;Garderobenflur;14,40;;
BU04;Bestandsgebäude;UG;Gruppenraum;30,00;;
BU05;Bestandsgebäude;UG;Schlafraum;29,00;;
BU06;Bestandsgebäude;UG;Küche und Essbereich;15,44;;
BU07;Bestandsgebäude;UG;Matschraum 1;8,13;;
BU08;Bestandsgebäude;UG;Matschraum 2;18,43;;
BU09;Bestandsgebäude;UG;Werkraum;28,62;;
BU10;Bestandsgebäude;UG;Waschküche;6,53;;
BU11;Bestandsgebäude;UG;Serverraum;10,35;;
BU12;Bestandsgebäude;UG;Abstellraum;14,44;;
BU13;Bestandsgebäude;UG;Material;1,60;;
BU14;Bestandsgebäude;UG;Heizung;15,08;;
BE01;Bestandsgebäude;EG;Flur;25,37;;Eingang
BE02;Bestandsgebäude;EG;Flur 2;6,91;;
BE03;Bestandsgebäude;EG;Flur 3;12,04;;
BE04;Bestandsgebäude;EG;Flur 4;9,93;;
BE05;Bestandsgebäude;EG;Gruppenraum 1;30,00;;
BE06;Bestandsgebäude;EG;Gruppenraum;30,00;;
BE07;Bestandsgebäude;EG;Gruppenraum 3;30,00;;
BE08;Bestandsgebäude;EG;Schlafraum 1;17,50;;
BE09;Bestandsgebäude;EG;Wintergarten;20,27;;
BE10;Bestandsgebäude;EG;Büro und Besprechung;24,00;;
BE11;Bestandsgebäude;EG;Büro;11,00;;
BE12;Bestandsgebäude;EG;Personalküche;18,12;;
BE13;Bestandsgebäude;EG;Wickelraum;14,72;;
BE14;Bestandsgebäude;EG;Garderobe;2,47;;
BE15;Bestandsgebäude;EG;Putzraum / Vorrat;10,50;;
BE16;Bestandsgebäude;EG;WC;2,08;;
BE17;Bestandsgebäude;EG;WF;4,30;;
BA01;Bestandsgebäude;Attika;Flur;10,94;;
BA02;Bestandsgebäude;Attika;Flur;10,17;;
BA03;Bestandsgebäude;Attika;Galerie;16,05;;
BA04;Bestandsgebäude;Attika;Gruppenraum;39,17;;
BA05;Bestandsgebäude;Attika;Turnraum;51,84;;
BA06;Bestandsgebäude;Attika;Materialraum;14,86;;
BA07;Bestandsgebäude;Attika;Lernraum;19,37;;
BA08;Bestandsgebäude;Attika;Atelier;22,72;;
BA09;Bestandsgebäude;Attika;Personalraum;16,19;;
BA10;Bestandsgebäude;Attika;Ruheraum;14,37;;
BA11;Bestandsgebäude;Attika;WC Kinder;11,04;;
BA12;Bestandsgebäude;Attika;Personal-WC;4,28;;
BA13;Bestandsgebäude;Attika;Abstellraum;8,48;;
TE01;Außen;ebenerdig;Terrasse;129,26;40;Terrasse 1 + 2 Neubau und Terrasse Bestandsgebäude
TE02;Außen;Attika;Dachterrasse;159,10;40;
GA01;Außen;-;Garten;;40;
